"COUNTRY","ISO3","WHO_REGION","DATE_UPDATED","VACCINES_USED","NUMBER_VACCINES_TYPES_USED","Protection against ORIGINAL Var- SEVERE, % average","Protection against ORIGINAL Var- INFECTION, % average","Protection against LATEST var BA1.n SEVERE, % average","Protection against LATEST var BA1.n INFECTION, % average","TOTAL Population","Population Vaccinated","% Population vaccinated","% People Protected for ORGINAL SEVERE","% People Protected for ORGINAL INFECTION","% People Protected for OMICRON SEVERE","% People Protected for OMICRON INFECTION","% SUCEPTIBLE for  BREAKTHROUGH  ORGINAL SEVERE","% SUCEPTIBLE for  BREAKTHROUGH ORIGINAL  INFECTION","% SUCEPTIBLE for  BREAKTHROUGH OMICRON SEVERE","% SUCEPTIBLE for  BREAKTHROUGH OMICRON INFECTION","% Population NOT VACCINATED"
"Afghanistan","AFG","EMRO","2022-12-22 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac","11","83","73","61","38","41128772","11684678","28.409985107263","23.58","20.74","17.33","10.80","4.83","7.67","11.08","17.61","71.59"
"Albania","ALB","EURO","2022-12-11 00:00:00","AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac","5","85","69","64","37","2842318","1344582","47.305825738007","40.21","32.64","30.28","17.50","7.10","14.66","17.03","29.80","52.69"
"Algeria","DZA","AFRO","2022-09-04 00:00:00","Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac","4","77","66","57","35","44903228","7840131","17.460061000514","13.44","11.52","9.95","6.11","4.02","5.94","7.51","11.35","82.54"
"American Samoa","ASM","WPRO","2022-08-23 00:00:00","Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty","3","93","83","67","42","44295","","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00"
"Andorra","AND","EURO","2022-11-13 00:00:00","AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty","3","95","80","72","43","79843","57901","72.51856768909","68.89","58.01","52.21","31.18","3.63","14.50","20.31","41.34","27.48"
"Angola","AGO","AFRO","2022-12-18 00:00:00","SII - Covishield","1","94","63","71","36","35588996","15079129","42.3702006092","39.83","26.69","30.08","15.25","2.54","15.68","12.29","27.12","57.63"
"Anguilla","AIA","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty","2","95","75","72","40","15877","10853","68.356742457643","64.94","51.27","49.22","27.34","3.42","17.09","19.14","41.01","31.64"
"Antigua and Barbuda","ATG","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield","6","89","73","65","38","93772","64290","68.559911274154","61.02","50.05","44.56","26.05","7.54","18.51","24.00","42.51","31.44"
"Argentina","ARG","AMRO","2022-10-07 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield","7","87","74","65","39","45510324","41452030","91.082695873578","79.24","67.40","59.20","35.52","11.84","23.68","31.88","55.56","8.92"
"Armenia","ARM","EURO","2022-05-22 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated","8","74","66","55","34","2780472","1129669","40.628677433184","30.07","26.81","22.35","13.81","10.56","13.81","18.28","26.81","59.37"
